

 --- Rician pdf for K=8  ---
Eb_N0=  2.300 dB        result=  -1.1931355 
Eb_N0=  2.400 dB        result=  -1.2135098 
Eb_N0=  2.500 dB        result=  -1.2340853 
Eb_N0=  2.600 dB        result=  -1.2548558 
Eb_N0=  2.700 dB        result=  -1.2758147 
Eb_N0=  2.800 dB        result=  -1.2969557 
Eb_N0=  2.900 dB        result=  -1.3182724 
Eb_N0=  3.000 dB        result=  -1.3397584 
Eb_N0=  3.100 dB        result=  -1.3614077 
Eb_N0=  3.200 dB        result=  -1.3832140 
Eb_N0=  3.300 dB        result=  -1.4051713 
Eb_N0=  3.400 dB        result=  -1.4272737 
Eb_N0=  3.500 dB        result=  -1.4495155 
Eb_N0=  3.600 dB        result=  -1.4718909 
Eb_N0=  3.700 dB        result=  -1.4943943 
Eb_N0=  3.800 dB        result=  -1.5170206 
Eb_N0=  3.900 dB        result=  -1.5397643 
Eb_N0=  4.000 dB        result=  -1.5626204 

 --- Rician pdf for K= 4.00 ---
Eb_N0=  0.000 dB        result=  -0.9060737 
Eb_N0=  0.100 dB        result=  -0.9267189 
Eb_N0=  0.200 dB        result=  -0.9479991 
Eb_N0=  0.300 dB        result=  -0.9699232 
Eb_N0=  0.400 dB        result=  -0.9924992 
Eb_N0=  0.500 dB        result=  -1.0157338 
Eb_N0=  0.600 dB        result=  -1.0396329 
Eb_N0=  0.700 dB        result=  -1.0642010 
Eb_N0=  0.800 dB        result=  -1.0894412 
Eb_N0=  0.900 dB        result=  -1.1153552 
Eb_N0=  1.000 dB        result=  -1.1419431 
Eb_N0=  1.100 dB        result=  -1.1692034 
Eb_N0=  1.200 dB        result=  -1.1971329 
Eb_N0=  1.300 dB        result=  -1.2257266 
Eb_N0=  1.400 dB        result=  -1.2549776 
Eb_N0=  1.500 dB        result=  -1.2848771 
Eb_N0=  1.600 dB        result=  -1.3154149 
Eb_N0=  1.700 dB        result=  -1.3465765 
Eb_N0=  1.800 dB        result=  -1.3783486 
Eb_N0=  1.900 dB        result=  -1.4107140 
Eb_N0=  2.000 dB        result=  -1.4436536 
Eb_N0=  2.100 dB        result=  -1.4771466 
Eb_N0=  2.200 dB        result=  -1.5111699 
Eb_N0=  2.300 dB        result=  -1.5457011 
Eb_N0=  2.400 dB        result=  -1.5807070 
Eb_N0=  2.500 dB        result=  -1.6161658 
Eb_N0=  2.600 dB        result=  -1.6520455 
Eb_N0=  2.700 dB        result=  -1.6883147 
Eb_N0=  2.800 dB        result=  -1.7249408 
Eb_N0=  2.900 dB        result=  -1.7618902 
Eb_N0=  3.000 dB        result=  -1.7991280 
Eb_N0=  3.100 dB        result=  -1.8366193 
Eb_N0=  3.200 dB        result=  -1.8743283 
Eb_N0=  3.300 dB        result=  -1.9122189 
